player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Aaron Mooy,Australia,1,0,219,628,5,3
Aaron Ramsey,Wales,1,0,110,433,9,1
Abdelhamid Sabiri,Morocco,4,1,58,230,1,5
Abdelkarim Hassan Al Haj Fadlalla,Qatar,6,0,158,491,3,3
Abdou Diallo,Senegal,1,0,183,492,0,1
Abdul Rahman Baba,Ghana,0,0,103,302,5,1
Abdulaziz Hatem Mohammed Abdullah,Qatar,1,0,91,287,1,2
Abdulelah Al Amri,Saudi Arabia,1,0,101,285,0,4
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,2,0,86,286,0,3
Abolfazl Jalali,Iran,0,0,29,81,2,0
Achraf Dari,Morocco,1,1,107,325,0,3
Achraf Hakimi Mouh,Morocco,5,1,380,1194,8,11
Adrien Rabiot,France,9,1,285,949,3,10
Ahmad Nourollahi,Iran,5,0,55,233,4,5
Ajdin Hrustic,Australia,1,0,23,128,4,0
Akram Hassan Afif,Qatar,2,0,166,549,7,0
Alejandro Balde Martínez,Spain,1,0,119,381,0,2
Alejandro Darío Gómez,Argentina,2,0,58,224,3,2
Aleksandar Mitrović,Serbia,10,2,67,325,1,0
Alex Nicolao Telles,Brazil,0,0,44,114,0,1
Alex Sandro Lobo Silva,Brazil,1,0,169,480,2,4
Alexander Djiku,Ghana,0,0,27,90,1,4
Alexander Hartmann Bah,Denmark,2,0,50,152,2,0
Alexis Mac Allister,Argentina,7,1,271,1011,6,4
Ali Abdi,Tunisia,0,0,109,323,3,5
Ali Albulayhi,Saudi Arabia,0,0,89,248,0,2
Ali Assadalla Thaimn Qambar,Qatar,0,0,23,70,1,0
Ali Gholizadeh,Iran,1,0,73,251,7,5
Ali Karimi,Iran,0,0,45,160,0,1
Ali Maâloul,Tunisia,0,0,61,129,0,2
Alidu Seidu,Ghana,1,0,75,267,5,0
Alireza Jahanbakhsh,Iran,3,0,16,88,2,1
Alireza Safar Beiranvand,Iran,0,0,31,69,0,0
Alisson Ramsés Becker,Brazil,0,0,94,234,0,0
Alistair Johnston,Canada,2,0,187,507,0,2
Almoez Ali Zainalabiddin Abdulla,Qatar,3,0,46,268,4,0
Alphonso Davies,Canada,4,1,114,453,22,5
Amadou Onana,Belgium,2,0,63,226,1,0
Andreas Christensen,Denmark,2,1,250,741,1,6
Andreas Evald Cornelius,Denmark,5,0,32,156,1,0
Andreas Skov Olsen,Denmark,4,0,62,229,1,1
Andrej Kramarić,Croatia,10,2,173,664,7,0
Andries Noppert,Netherlands,0,0,191,468,0,0
Andrija Živković,Serbia,1,0,99,313,1,4
André Ayew Pelé,Ghana,2,1,37,223,2,0
André Onana,Cameroon,0,0,60,132,0,0
André-Frank Zambo Anguissa,Cameroon,1,0,134,461,3,6
Angelo Smit Preciado Quiñónez,Ecuador,4,0,129,386,1,5
Anis Ben Slimane,Tunisia,1,0,49,209,1,1
Anssumane Fati,Spain,0,0,28,102,2,0
Anthony Daniel Contreras Enríquez,Costa Rica,0,0,25,141,1,1
Antoine Griezmann,France,6,0,323,1021,8,11
Antonee Robinson,United States,0,0,240,697,7,8
Antonio Rüdiger,Germany,6,0,247,697,0,0
Antony Matheus dos Santos,Brazil,6,0,113,425,15,3
António João Pereira Albuquerque Tavares Silva,Portugal,0,0,58,172,0,1
